지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 나타난날(yyyymmdd),최고기온(°C),최고기온 나타난날(yyyymmdd),평균최저기온(°C),평균최고기온(°C),평균 해면기압(hPa),합계 강수량(mm),일 최다 강수량(mm),일 최다 강수량 나타난날(yyyymmdd),평균 상대습도(%),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2),평균 풍속(m/s),최다 풍향(16방위),합계 소형 증발량(mm),합계 대형 증발량(mm)
140,군산,1968,12.4,-11.5,19680202,32.6,19680701,9.2,16.4,1016.5,786.8,85.3,19681007,78.8,2373.2,53.4,,4,290,1344.8,
140,군산,1969,11.8,-11.9,19690206,32.8,19690821,8.5,15.8,1016.8,1505.4,74.4,19690806,74.4,2091,47.18,,4.4,70,1103.6,
140,군산,1970,12.1,-13.7,19700105,33.2,19700721,8.8,16,1017.3,1251.4,82.6,19700902,77.1,2283.9,51.53,,4.2,70,1138.2,
140,군산,1971,12.2,-14.5,19710106,33.4,19710809,9,16.1,1017,1224,127.3,19710924,75.1,2253.3,50.84,,4,290,1116.5,
140,군산,1972,12.4,-6.3,19720301,34.4,19720720,9.1,16.4,1016.1,1319,91.4,19720703,76.8,2021.2,45.48,,4.5,70,1135,
140,군산,1973,12.7,-13.6,19731224,35.2,19730717,9.2,16.5,1017,917.4,115.6,19730802,72.2,2402.4,54.19,,4.3,290,1223.9,742.4
140,군산,1974,11.7,-12.4,19740124,33.6,19740814,8.2,15.7,1016.5,1619.4,172.8,19740830,75.5,2258.1,50.95,,4.1,290,1101.5,621.3
140,군산,1975,13,-9.2,19751224,34.7,19750818,9.7,16.8,1016.3,1457.1,108.7,19750920,76.4,2418.4,54.56,,4,70,1138.9,626.6
140,군산,1976,12.1,-12,19760120,34.2,19760821,8.7,16.3,1016.4,867,57.6,19760823,75.9,2332.6,52.49,,4.3,70,1147.6,647.4
140,군산,1977,12.7,-12.4,19770217,34.8,19770729,9.2,17.4,1017,710.2,75.9,19770712,75.8,2301.3,51.92,17.15,4,50,1219.7,682.8
140,군산,1978,13.1,-10.7,19780201,35,19780728,9.6,17.8,1016.6,1033.3,121.5,19780718,76.2,2350.1,53.02,,4.1,290,1255.6,678.3
140,군산,1979,13,-9,19790202,33.6,19790815,9.4,17.4,1016.2,1421.3,261.1,19790805,76.9,2184.2,49.28,,4.1,270,1090.2,560.1
140,군산,1980,11.5,-13,19800118,30.5,19800720,8,15.7,1016.6,1298.8,136.3,19800625,78.4,1993.4,44.86,,4.3,270,1060.2,540.5
140,군산,1981,11.8,-12.7,19810226,34.8,19810726,8.1,16.2,1016.5,1203.1,106.9,19810712,77.4,2065.6,46.6,0,4,270,1064.3,597.2
140,군산,1982,13,-10.4,19820129,33.7,19820810,9,17.4,1016.4,783.3,56.2,19820820,73.9,2117.3,47.76,,4,90,1171.5,652
140,군산,1983,12.8,-9.9,19830213,34.3,19830805,9.3,17.3,1016.3,1136.6,108,19830620,76.3,1955.1,43.95,,3.9,270,1087.1,599.9
140,군산,1984,12.3,-11.5,19840203,34.5,19840809,8.6,16.8,1016.6,1126.1,107.2,19840902,75.1,2132.9,47.84,,3.8,90,1118.1,664
140,군산,1985,12.5,-13,19850114,35.1,19850728,8.8,17,1016.5,1462.6,98.7,19850707,77.3,2087.5,46.94,,3.9,90,1107.3,641.3
140,군산,1986,11.9,-12.7,19860106,33.8,19860801,8.4,16.5,1016.6,1205.9,117.6,19860828,76.5,2246.5,50.5,,3.9,90,1072.6,549.6
140,군산,1987,12.3,-10,19870114,33.2,19870728,8.8,16.7,1016.8,1769.1,231,19870722,74.8,2121.5,47.69,,4.1,290,1096.2,538.5
140,군산,1988,12.5,-9.2,19880203,34.4,19880807,8.8,16.9,1016.4,729.1,75.3,19880714,73.5,2366.3,53.08,,4.3,290,1336.2,643.3
140,군산,1989,13.1,-7.5,19890128,34.1,19890805,9.7,17.2,1017,1279.9,109,19890608,79.3,2061.9,46.36,,3.9,290,1274.6,588.9
140,군산,1990,13.5,-13.9,19900125,34,19900802,10.2,17.5,1016.5,1263.5,65.8,19900711,80.3,1915.3,43.06,,4,70,1239.6,585.4
140,군산,1991,12.6,-11.1,19910224,34.4,19910820,9.3,17,1015.9,1108.4,72.7,19910904,79.7,1994.1,44.82,,3.9,70,,
140,군산,1992,12.9,-7,19921225,32.8,19920730,9.3,17.2,1016,1081,97.5,19920812,77.8,2053.8,46.07,,3.8,70,,
140,군산,1993,12.2,-9.1,19930119,30.5,19930728,8.7,16.5,1016.4,1327.5,115.3,19930712,77.3,1971.5,44.32,,4,70,,
140,군산,1994,13.6,-10.3,19940124,36.9,19940724,9.9,18.2,1016.8,911.1,84.9,19940810,73.9,2339.3,52.59,,3.7,290,,
140,군산,1995,12.7,-9.3,19950130,34.4,19950819,8.8,17.2,1016.8,1001,189.6,19950830,71.3,2337.7,52.55,,3.5,290,,
140,군산,1996,12.4,-10.9,19960202,35.1,19960731,8.8,16.6,1016.8,976,80.2,19960617,72.2,2058.5,46.18,,3.4,70,,
140,군산,1997,13,-11.1,19970122,34.3,19970726,9.1,17.2,1016.5,1143,105.8,19970706,72.1,2320.1,52.16,,3.5,250,,
